BHCMIS.ID,Year,T6B_L1_CSAA,T6B_L2_CSAA,T6B_L3_CSAA,T6B_L4_CSAA,T6B_L5_CSAA,T6B_L6_CSAA,T6B_L7_CSBA,T6B_L8_CSBA,T6B_L9_CSBA,T6B_L7_CSBB,T6B_L8_CSBB,T6B_L9_CSBB,T6B_L10_CSCA,T6B_L10_CSCB,T6B_L10_CSCC,T6B_L11_CSDA,T6B_L11_CSDB,T6B_L11_CSDC,T6B_L10_N_CC,T6B_L10_D_CC,T6B_L11_N_CC,T6B_L11_D_CC,T6B_L1_CA,T6B_L2_CA,T6B_L3_CA,T6B_L4_CA,T6B_L5_CA,T6B_L6_CA,T6B_L7_CA,T6B_L7_CB,T6B_L8_CA,T6B_L8_CB,T6B_L9_CA,T6B_L9_CB,T6B_L10_CA,T6B_L10_CB,T6B_L10_CC,T6B_L11_CA,T6B_L11_CB,T6B_L11_CC,T6B_L12_CA,T6B_L12_CB,T6B_L12_CC,T6B_L13_CA,T6B_L13_CB,T6B_L13_CC,T6B_L14_CA,T6B_L14_CB,T6B_L14_CC,T6B_L15_CA,T6B_L15_CB,T6B_L15_CC,T6B_L16_CA,T6B_L16_CB,T6B_L16_CC
F61A8E62-B5E1-4E8A-8087-C4A033DF3590,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,156.77142857142857,186,159.20000000000002,796,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13CF3208-6FFF-4E62-B82D-D9F5162E0274,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,214.45714285714286,278,4460.314285714286,6122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BF1673DC-1A1A-4FE2-AF87-FA819B3D8A89,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,113,3972,7287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F5921505-5E20-4C0F-96AC-72F4FADB1907,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85.5,133,1840.4571428571428,2928,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3EE49163-A4D4-467F-B67B-30A13A9FAEEC,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,100,355,964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E6DCEA76-7FA4-4F1E-A90B-F81553C344CB,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.24285714285714,127,1564.3428571428572,1856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C313F2B4-C08A-4D03-A884-C262C1DCFD37,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,703.7142857142857,821,6693.542857142857,11428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA339F43-B762-48EB-A291-057FFB2F5A3C,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,651.8857142857142,736,4549.028571428571,9951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50537FA3-F12C-4CD5-B110-80B8EAF10209,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,293.40000000000003,326,2176.285714285714,2539,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48DCFCB4-AEEB-4A8E-A887-B37B22571DB8,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,863.0857142857143,944,9143.828571428572,12309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
