BHCMIS.ID,Year,T3B_L1_CA,T3B_L2_CA,T3B_L3_CA,T3B_L4_CA,T3B_L5_CA,T3B_L6_CA,T3B_L7_CA,T3B_L8_CA,T3B_L1ACA,T3B_L1BCA,T3B_L1A_CA,T3B_L1B_CA,T3B_L1C_CA,T3B_L5A_CA,T3B_L5B_CA,T3B_L5C_CA,T3B_L9_CA,T3B_L10_CA,T3B_L11_CA,T3B_L12_CA,T3B_L1_CB,T3B_L1_CD,T3B_L2_CB,T3B_L2_CD,T3B_L2A_CA,T3B_L2A_CB,T3B_L2A_CD,T3B_L2B_CA,T3B_L2B_CB,T3B_L2B_CD,T3B_L3_CB,T3B_L3_CD,T3B_L4_CB,T3B_L4_CD,T3B_L5_CB,T3B_L5_CD,T3B_L6_CB,T3B_L6_CD,T3B_L7_CB,T3B_L7_CD,T3B_L8_CB,T3B_L8_CC,T3B_L8_CD,T3B_L7_CC
1370,2010,0,0,2,0,13,2,0,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,5,4,4,0,0,0,0,4,4,1053,1055,3,3,1097,1110,8,10,0,7,2170,7,2194,7
1371,2010,10,5,26,3,97,64,393,598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35211,37694,37704,7,12,5,6,11,0,1,1,325,351,7,10,510,607,142,206,154,547,38839,0,39437,0
1372,2010,40,57,0,3,39,22,268,429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,2001,2041,1736,1793,52,1492,1544,5,244,249,29,29,46,49,2456,2495,140,162,551,1022,6959,203,7591,203
1373,2010,3,25,24,52,1034,519,324,1981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,869,13,16,17,42,3,6,9,22,11,33,386,410,309,361,1490,2524,47,566,30,428,2292,74,4347,74
1374,2010,0,0,1,0,7,0,45,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,93,93,8,8,0,2,2,0,6,6,10,11,293,293,809,816,0,0,63,108,1276,0,1329,0
1375,2010,0,1,1,0,956,0,83,1041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,855,25,25,0,1,0,0,0,1,0,1,256,257,7,7,3010,3966,11,11,8,91,3317,0,4358,0
1376,2010,0,0,13,2,60,3,31,109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,49,49,9,9,0,2,2,0,7,7,3132,3145,17,19,1731,1791,11,14,41,72,4990,0,5099,0
1377,2010,20,1,22,9,9058,86,0,9196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5418,819,839,22,23,0,7,7,1,15,16,2475,2497,143,152,10962,20020,238,324,466,541,15125,75,24396,75
1378,2010,0,0,0,0,0,58,23944,24002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8927,85,85,0,0,0,0,0,0,0,0,1319,1319,14,14,545,545,0,58,0,23944,1963,0,25965,0
1379,2010,0,0,0,0,453,0,0,453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,348,14,14,1,1,0,1,1,0,0,0,97,97,511,511,234,687,0,0,0,38,857,38,1348,38
1380,2010,3,0,1,0,16,40,262,322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,190,193,49,49,0,7,7,0,42,42,363,364,220,220,5802,5818,249,289,51,485,6924,172,7418,172
1381,2010,9,2,28,66,48,11,853,1017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,719,1176,1185,583,585,0,29,29,2,554,556,1006,1034,197,263,15222,15270,535,546,657,3671,19376,2161,22554,2161
1382,2010,0,0,12,0,2271,0,2,2285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,108,108,0,0,0,0,0,0,0,0,1010,1022,0,0,349,2620,0,0,66,118,1533,50,3868,50
1383,2010,0,0,0,0,1113,2,98,1213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,914,22,22,23,23,0,0,0,0,23,23,13,13,10,10,1078,2191,6,8,17,120,1169,5,2387,5
